case_index,batch_index,graph_index,original_mode_index,base_mode_index,compare_mode_index,original_risk,base_risk,risk_gap,original_fde,base_fde,compare_fde,original_miss,base_miss,compare_miss,base_switch,compare_switch,blocked_by_compare_margin,base_hit_to_miss,base_miss_to_hit,compare_hit_to_miss,compare_miss_to_hit
110,13,6,4,4,4,0.40346574783325195,0.40346574783325195,0.0,1.4404877424240112,1.4404877424240112,1.4404877424240112,0,0,0,0,0,0,0,0,0,0
111,13,7,4,4,4,0.5893800258636475,0.5893800258636475,0.0,1.2971210479736328,1.2971210479736328,1.2971210479736328,0,0,0,0,0,0,0,0,0,0
112,14,0,4,5,4,0.733963131904602,0.6705005168914795,0.06346261501312256,2.540231466293335,3.3131208419799805,2.540231466293335,1,1,1,1,0,1,0,0,0,0
113,14,1,2,4,2,0.811974287033081,0.7558408975601196,0.056133389472961426,4.629964828491211,6.677403450012207,4.629964828491211,1,1,1,1,0,1,0,0,0,0
114,14,2,0,2,2,0.6179558038711548,0.45485278964042664,0.16310301423072815,8.33791446685791,7.71644926071167,7.71644926071167,1,1,1,1,1,0,0,0,0,0
115,14,3,5,5,5,0.6753985285758972,0.6753985285758972,0.0,3.673582077026367,3.673582077026367,3.673582077026367,1,1,1,0,0,0,0,0,0,0
116,14,4,4,4,4,0.813299298286438,0.813299298286438,0.0,5.667043209075928,5.667043209075928,5.667043209075928,1,1,1,0,0,0,0,0,0,0
117,14,5,2,4,2,0.8298278450965881,0.7842118740081787,0.045615971088409424,1.4788421392440796,1.5094791650772095,1.4788421392440796,0,0,0,1,0,1,0,0,0,0
118,14,6,4,4,4,0.4061841368675232,0.4061841368675232,0.0,0.015636440366506577,0.015636440366506577,0.015636440366506577,0,0,0,0,0,0,0,0,0,0
119,14,7,4,4,4,0.6258991956710815,0.6258991956710815,0.0,4.268892288208008,4.268892288208008,4.268892288208008,1,1,1,0,0,0,0,0,0,0
120,15,0,4,4,4,0.5613526701927185,0.5613526701927185,0.0,2.4246115684509277,2.4246115684509277,2.4246115684509277,1,1,1,0,0,0,0,0,0,0
121,15,1,4,4,4,0.41571950912475586,0.41571950912475586,0.0,1.8310027122497559,1.8310027122497559,1.8310027122497559,0,0,0,0,0,0,0,0,0,0
122,15,2,4,4,4,0.40634268522262573,0.40634268522262573,0.0,2.3004863262176514,2.3004863262176514,2.3004863262176514,1,1,1,0,0,0,0,0,0,0
123,15,3,4,4,4,0.4502447843551636,0.4502447843551636,0.0,0.5311973094940186,0.5311973094940186,0.5311973094940186,0,0,0,0,0,0,0,0,0,0
124,15,4,2,4,2,0.6929910778999329,0.6764805912971497,0.016510486602783203,4.695078372955322,3.4021496772766113,4.695078372955322,1,1,1,1,0,1,0,0,0,0
125,15,5,2,2,2,0.5824596285820007,0.5824596285820007,0.0,1.4594603776931763,1.4594603776931763,1.4594603776931763,0,0,0,0,0,0,0,0,0,0
126,15,6,4,4,4,0.40909072756767273,0.40909072756767273,0.0,0.5073999762535095,0.5073999762535095,0.5073999762535095,0,0,0,0,0,0,0,0,0,0
127,15,7,4,4,4,0.5359843373298645,0.5359843373298645,0.0,2.9847664833068848,2.9847664833068848,2.9847664833068848,1,1,1,0,0,0,0,0,0,0
128,16,0,4,5,4,0.4535594880580902,0.39624184370040894,0.057317644357681274,2.9760704040527344,6.089557647705078,2.9760704040527344,1,1,1,1,0,1,0,0,0,0
129,16,1,2,2,2,0.639558732509613,0.639558732509613,0.0,2.3666040897369385,2.3666040897369385,2.3666040897369385,1,1,1,0,0,0,0,0,0,0
130,16,2,4,4,4,0.4877127707004547,0.4877127707004547,0.0,2.310638189315796,2.310638189315796,2.310638189315796,1,1,1,0,0,0,0,0,0,0
131,16,3,2,4,2,0.8011508584022522,0.7913164496421814,0.0098344087600708,5.648713111877441,7.5807390213012695,5.648713111877441,1,1,1,1,0,1,0,0,0,0
132,16,4,2,4,2,0.5154440402984619,0.4816947877407074,0.03374925255775452,3.760493755340576,5.159579277038574,3.760493755340576,1,1,1,1,0,1,0,0,0,0
133,16,5,2,4,2,0.7179428935050964,0.6658052802085876,0.05213761329650879,1.110705852508545,0.7687793970108032,1.110705852508545,0,0,0,1,0,1,0,0,0,0
134,16,6,4,4,4,0.4150313436985016,0.4150313436985016,0.0,0.8483437299728394,0.8483437299728394,0.8483437299728394,0,0,0,0,0,0,0,0,0,0
135,16,7,2,4,2,0.6107890605926514,0.542538046836853,0.06825101375579834,7.9437456130981445,5.357152462005615,7.9437456130981445,1,1,1,1,0,1,0,0,0,0
136,17,0,4,4,4,0.758855402469635,0.758855402469635,0.0,2.1423304080963135,2.1423304080963135,2.1423304080963135,1,1,1,0,0,0,0,0,0,0
137,17,1,4,4,4,0.4047389328479767,0.4047389328479767,0.0,1.2708803415298462,1.2708803415298462,1.2708803415298462,0,0,0,0,0,0,0,0,0,0
138,17,2,2,2,2,0.7450634837150574,0.7450634837150574,0.0,5.967700958251953,5.967700958251953,5.967700958251953,1,1,1,0,0,0,0,0,0,0
139,17,3,4,4,4,0.5092146992683411,0.5092146992683411,0.0,0.6687467694282532,0.6687467694282532,0.6687467694282532,0,0,0,0,0,0,0,0,0,0
140,17,4,2,4,2,0.6144884824752808,0.5651316046714783,0.04935687780380249,1.3333210945129395,3.350214958190918,1.3333210945129395,0,1,0,1,0,1,1,0,0,0
141,17,5,4,4,4,0.7113500833511353,0.7113500833511353,0.0,5.163215160369873,5.163215160369873,5.163215160369873,1,1,1,0,0,0,0,0,0,0
142,17,6,2,4,2,0.6338753700256348,0.6199465990066528,0.013928771018981934,1.67488431930542,0.6711120009422302,1.67488431930542,0,0,0,1,0,1,0,0,0,0
143,17,7,4,4,4,0.4877949655056,0.4877949655056,0.0,1.3191651105880737,1.3191651105880737,1.3191651105880737,0,0,0,0,0,0,0,0,0,0
144,18,0,4,4,4,0.44475841522216797,0.44475841522216797,0.0,0.9505944848060608,0.9505944848060608,0.9505944848060608,0,0,0,0,0,0,0,0,0,0
145,18,1,5,1,5,0.812923789024353,0.716425359249115,0.09649842977523804,1.9758625030517578,3.8355228900909424,1.9758625030517578,0,1,0,1,0,1,1,0,0,0
146,18,2,2,2,2,0.5625758171081543,0.5625758171081543,0.0,4.2827043533325195,4.2827043533325195,4.2827043533325195,1,1,1,0,0,0,0,0,0,0
147,18,3,5,5,5,0.39318713545799255,0.39318713545799255,0.0,2.023430347442627,2.023430347442627,2.023430347442627,1,1,1,0,0,0,0,0,0,0
148,18,4,3,3,3,0.7608855366706848,0.7608855366706848,0.0,20.707231521606445,20.707231521606445,20.707231521606445,1,1,1,0,0,0,0,0,0,0
149,18,5,4,4,4,0.5373984575271606,0.5373984575271606,0.0,2.8237576484680176,2.8237576484680176,2.8237576484680176,1,1,1,0,0,0,0,0,0,0
150,18,6,0,2,0,0.8454079031944275,0.7938283681869507,0.05157953500747681,13.250992774963379,10.518671035766602,13.250992774963379,1,1,1,1,0,1,0,0,0,0
151,18,7,4,4,4,0.5090775489807129,0.5090775489807129,0.0,0.30803239345550537,0.30803239345550537,0.30803239345550537,0,0,0,0,0,0,0,0,0,0
152,19,0,4,4,4,0.6287218332290649,0.6287218332290649,0.0,1.4582709074020386,1.4582709074020386,1.4582709074020386,0,0,0,0,0,0,0,0,0,0
153,19,1,5,2,5,0.6730929613113403,0.5789487361907959,0.09414422512054443,8.854386329650879,4.006442070007324,8.854386329650879,1,1,1,1,0,1,0,0,0,0
154,19,2,4,4,4,0.5560590028762817,0.5560590028762817,0.0,2.742637872695923,2.742637872695923,2.742637872695923,1,1,1,0,0,0,0,0,0,0
155,19,3,4,4,4,0.6912449598312378,0.6912449598312378,0.0,1.57819664478302,1.57819664478302,1.57819664478302,0,0,0,0,0,0,0,0,0,0
156,19,4,4,4,4,0.6739874482154846,0.6739874482154846,0.0,1.3023890256881714,1.3023890256881714,1.3023890256881714,0,0,0,0,0,0,0,0,0,0
157,19,5,4,5,4,0.6576656103134155,0.6458340883255005,0.011831521987915039,0.4216634929180145,2.391169309616089,0.4216634929180145,0,1,0,1,0,1,1,0,0,0
158,19,6,4,4,4,0.6349344849586487,0.6349344849586487,0.0,1.3950272798538208,1.3950272798538208,1.3950272798538208,0,0,0,0,0,0,0,0,0,0
159,19,7,4,5,4,0.6922814249992371,0.6493310332298279,0.04295039176940918,1.5731444358825684,2.8526909351348877,1.5731444358825684,0,1,0,1,0,1,1,0,0,0
160,20,0,4,4,4,0.5873390436172485,0.5873390436172485,0.0,0.6664029955863953,0.6664029955863953,0.6664029955863953,0,0,0,0,0,0,0,0,0,0
161,20,1,4,4,4,0.7421960234642029,0.7421960234642029,0.0,0.6060556769371033,0.6060556769371033,0.6060556769371033,0,0,0,0,0,0,0,0,0,0
162,20,2,5,5,5,0.6610514521598816,0.6610514521598816,0.0,2.1365952491760254,2.1365952491760254,2.1365952491760254,1,1,1,0,0,0,0,0,0,0
163,20,3,4,4,4,0.634450376033783,0.634450376033783,0.0,1.2465072870254517,1.2465072870254517,1.2465072870254517,0,0,0,0,0,0,0,0,0,0
164,20,4,2,2,2,0.6599245071411133,0.6599245071411133,0.0,5.092479705810547,5.092479705810547,5.092479705810547,1,1,1,0,0,0,0,0,0,0
165,20,5,4,4,4,0.3248612880706787,0.3248612880706787,0.0,1.1115633249282837,1.1115633249282837,1.1115633249282837,0,0,0,0,0,0,0,0,0,0
166,20,6,2,4,2,0.6377177834510803,0.601763904094696,0.03595387935638428,2.0834126472473145,4.05932092666626,2.0834126472473145,1,1,1,1,0,1,0,0,0,0
